1,100,0.897,0.8163
2,100,0.897,0.8399
3,100,0.897,0.8337
4,100,0.897,0.8545
5,100,0.897,0.8563
6,100,0.897,0.862
7,100,0.897,0.8646
8,100,0.897,0.8466
9,100,0.897,0.8666
10,100,0.897,0.8696
11,100,0.897,0.8685
12,100,0.897,0.8746
13,100,0.897,0.8771
14,100,0.897,0.8733
15,100,0.897,0.8783
16,100,0.897,0.8803
17,100,0.897,0.8779
18,100,0.897,0.8803
19,100,0.897,0.884
20,100,0.897,0.8849
21,100,0.897,0.8837
22,100,0.897,0.8829
23,100,0.897,0.886
24,100,0.897,0.8811
25,100,0.897,0.8838
26,100,0.897,0.8862
27,100,0.897,0.8829
28,100,0.897,0.8748
29,100,0.897,0.8845
30,100,0.897,0.8862
31,100,0.897,0.8916
32,100,0.897,0.8855
33,100,0.897,0.8823
34,100,0.897,0.8883
35,100,0.897,0.8935
36,100,0.897,0.8878
37,100,0.897,0.8936
38,100,0.897,0.8925
39,100,0.897,0.8915
40,100,0.897,0.8915
